cell_line,reported_sex,"XIST_expression (log thresholds = 6,8)",XIST_expression_category,"DDX3Y_expression (log thresholds = 6,7)",DDX3Y_expression_category,"EIF1AY_expression (log thresholds = 5,6)",EIF1AY_expression_category,"KDM5D_expression (log thresholds = 5,6)",KDM5D_expression_category,"NLGN4Y_expression (log thresholds = 4,5)",NLGN4Y_expression_category,"RPS4Y1_expression (log thresholds = 6,8)",RPS4Y1_expression_category,"TMSB4Y_expression (log thresholds = 2.5,3)",TMSB4Y_expression_category,"USP9Y_expression (log thresholds = 4,5)",USP9Y_expression_category,"UTY_expression (log thresholds = 4,5)",UTY_expression_category,"ZFY_expression (log thresholds = 4,5)",ZFY_expression_category
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,4060,high_expression,39,female_range,4,female_range,11,female_range,3,female_range,122,female_range,3,female_range,12,female_range,9,female_range,9,female_range
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,65,male_range,27,female_range,0,female_range,5,female_range,0,female_range,35,female_range,2,female_range,11,female_range,5,female_range,5,female_range
AN3CA_ENDOMETRIUM,female,432,intermediate_expression,33,female_range,2,female_range,8,female_range,2,female_range,58,female_range,0,female_range,5,female_range,9,female_range,2,female_range
ASPC1_PANCREAS,female,33,male_range,7,female_range,0,female_range,5,female_range,3,female_range,34,female_range,3,female_range,2,female_range,0,female_range,1,female_range
AU565_BREAST,female,67585,high_expression,25,female_range,8,female_range,5,female_range,19,female_range,46,female_range,0,female_range,9,female_range,4,female_range,5,female_range
BC3C_URINARY_TRACT,female,68,male_range,25,female_range,2,female_range,9,female_range,68,intermediate_expression,61,female_range,0,female_range,6,female_range,6,female_range,12,female_range
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,56,male_range,29,female_range,14,female_range,19,female_range,4,female_range,79,female_range,0,female_range,13,female_range,2,female_range,9,female_range
BCPAP_THYROID,female,155,male_range,31,female_range,5,female_range,16,female_range,1,female_range,61,female_range,3,female_range,18,female_range,1,female_range,4,female_range
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,29,male_range,27008,high_expression,10104,high_expression,20036,high_expression,2290,high_expression,42283,high_expression,999,high_expression,8269,high_expression,4174,high_expression,3118,high_expression
BEN_LUNG,male,15288,high_expression,38,female_range,11,female_range,18,female_range,13,female_range,15113,high_expression,2,female_range,20,female_range,9,female_range,1067,high_expression
BFTC905_URINARY_TRACT,female,36,male_range,18,female_range,6,female_range,11,female_range,2,female_range,38,female_range,0,female_range,6,female_range,8,female_range,1,female_range
BFTC909_KIDNEY,male,88,male_range,30,female_range,10,female_range,14,female_range,4,female_range,46,female_range,2,female_range,4,female_range,4,female_range,0,female_range
BHT101_THYROID,female,68,male_range,42,female_range,15,female_range,18,female_range,0,female_range,99,female_range,4,female_range,9,female_range,8,female_range,7,female_range
BHY_UPPER_AERODIGESTIVE_TRACT,male,46,male_range,9359,high_expression,1133,high_expression,3191,high_expression,29,female_range,10732,high_expression,173,high_expression,5392,high_expression,2783,high_expression,839,high_expression
BICR16_UPPER_AERODIGESTIVE_TRACT,male,71,male_range,29,female_range,11,female_range,14,female_range,2,female_range,51,female_range,1,female_range,17,female_range,4,female_range,0,female_range
BICR18_UPPER_AERODIGESTIVE_TRACT,male,82,male_range,692,intermediate_expression,1880,high_expression,289,intermediate_expression,0,female_range,65,female_range,43,high_expression,833,high_expression,55,intermediate_expression,242,high_expression
BICR22_UPPER_AERODIGESTIVE_TRACT,male,79,male_range,18,female_range,13,female_range,9,female_range,2,female_range,62,female_range,0,female_range,6,female_range,4,female_range,3,female_range
BICR31_UPPER_AERODIGESTIVE_TRACT,male,98,male_range,38,female_range,8,female_range,20,female_range,1,female_range,86,female_range,8,female_range,8,female_range,7,female_range,8,female_range
BICR56_UPPER_AERODIGESTIVE_TRACT,female,34575,high_expression,33,female_range,6,female_range,6,female_range,0,female_range,87,female_range,8,female_range,13,female_range,3,female_range,5,female_range
BICR6_UPPER_AERODIGESTIVE_TRACT,male,69,male_range,2994,high_expression,1649,high_expression,1017,high_expression,158,high_expression,15075,high_expression,76,high_expression,1523,high_expression,1127,high_expression,597,high_expression
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,46,male_range,17113,high_expression,8313,high_expression,11257,high_expression,0,female_range,47949,high_expression,202,high_expression,4559,high_expression,2470,high_expression,1436,high_expression
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,58,male_range,27720,high_expression,9414,high_expression,9586,high_expression,0,female_range,32693,high_expression,158,high_expression,3519,high_expression,2598,high_expression,1641,high_expression
BT12_SOFT_TISSUE,NA,12795,high_expression,12,female_range,8,female_range,8,female_range,0,female_range,35,female_range,0,female_range,4,female_range,0,female_range,6,female_range
BT20_BREAST,female,35,male_range,16,female_range,4,female_range,6,female_range,2,female_range,35,female_range,3,female_range,2,female_range,7,female_range,4,female_range
BT474_BREAST,female,22,male_range,9,female_range,7,female_range,10,female_range,1,female_range,10,female_range,1,female_range,5,female_range,2,female_range,2,female_range
BT483_BREAST,female,54705,high_expression,27,female_range,4,female_range,14,female_range,10,female_range,64,female_range,4,female_range,5,female_range,9,female_range,8,female_range
BT549_BREAST,female,87,male_range,37,female_range,13,female_range,12,female_range,4,female_range,105,female_range,0,female_range,5,female_range,8,female_range,12,female_range
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,22,male_range,24,female_range,2,female_range,14,female_range,2,female_range,53,female_range,1,female_range,2,female_range,8,female_range,8,female_range
BXPC3_PANCREAS,female,52,male_range,24,female_range,6,female_range,8,female_range,1,female_range,34,female_range,2,female_range,6,female_range,5,female_range,5,female_range
C2BBE1_LARGE_INTESTINE,male,15,male_range,20,female_range,5,female_range,5,female_range,5,female_range,38,female_range,0,female_range,10,female_range,1,female_range,3,female_range
C32_SKIN,male,25,male_range,16027,high_expression,3241,high_expression,5033,high_expression,4,female_range,30095,high_expression,187,high_expression,3453,high_expression,2078,high_expression,2655,high_expression
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,11,male_range,10269,high_expression,4033,high_expression,7398,high_expression,1002,high_expression,26635,high_expression,207,high_expression,4072,high_expression,2066,high_expression,1766,high_expression
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,65,male_range,28,female_range,12,female_range,19,female_range,5,female_range,84,female_range,0,female_range,18,female_range,9,female_range,7,female_range
CACO2_LARGE_INTESTINE,NA,138,male_range,21,female_range,4,female_range,4,female_range,0,female_range,27,female_range,0,female_range,8,female_range,0,female_range,0,female_range
CADOES1_BONE,female,116741,high_expression,29,female_range,4,female_range,15,female_range,658,high_expression,56,female_range,0,female_range,15,female_range,10,female_range,3,female_range
CAKI1_KIDNEY,male,34,male_range,12,female_range,2,female_range,9,female_range,0,female_range,47,female_range,2,female_range,4,female_range,3,female_range,2,female_range
CAKI2_KIDNEY,male,44,male_range,19104,high_expression,3108,high_expression,3215,high_expression,1907,high_expression,13727,high_expression,187,high_expression,7746,high_expression,3216,high_expression,2087,high_expression
CAL120_BREAST,female,22,male_range,21,female_range,7,female_range,6,female_range,2,female_range,18,female_range,3,female_range,0,female_range,2,female_range,2,female_range
CAL12T_LUNG,male,61,male_range,245,female_range,90,female_range,194,intermediate_expression,4,female_range,1197,intermediate_expression,47,high_expression,160,high_expression,63,intermediate_expression,53,female_range
CAL148_BREAST,female,31087,high_expression,44,female_range,5,female_range,21,female_range,5,female_range,67,female_range,1,female_range,21,female_range,11,female_range,10,female_range
CAL27_UPPER_AERODIGESTIVE_TRACT,male,96,male_range,88,female_range,35,female_range,31,female_range,3,female_range,106,female_range,1,female_range,28,female_range,14,female_range,11,female_range
CAL29_URINARY_TRACT,female,70216,high_expression,59,female_range,24,female_range,46,female_range,0,female_range,150,female_range,1,female_range,33,female_range,32,female_range,8,female_range
CAL33_UPPER_AERODIGESTIVE_TRACT,male,71,male_range,38631,high_expression,6882,high_expression,14112,high_expression,162,high_expression,62906,high_expression,419,high_expression,18196,high_expression,12936,high_expression,3078,high_expression
CAL51_BREAST,female,58,male_range,15,female_range,1,female_range,10,female_range,16,female_range,44,female_range,0,female_range,16,female_range,6,female_range,6,female_range
CAL54_KIDNEY,male,59,male_range,47,female_range,10,female_range,23,female_range,0,female_range,62,female_range,2,female_range,5,female_range,3,female_range,2,female_range
CAL62_THYROID,female,31,male_range,14,female_range,8,female_range,4,female_range,2,female_range,24,female_range,2,female_range,2,female_range,2,female_range,1,female_range
CAL78_BONE,male,142,male_range,3467,high_expression,3042,high_expression,2969,high_expression,828,high_expression,5167,high_expression,18,intermediate_expression,1738,high_expression,1009,high_expression,534,high_expression
CAL851_BREAST,female,11867,high_expression,32,female_range,0,female_range,18,female_range,2,female_range,67,female_range,0,female_range,11,female_range,7,female_range,6,female_range
CALU1_LUNG,male,18,male_range,20,female_range,14,female_range,12,female_range,0,female_range,40,female_range,0,female_range,9,female_range,4,female_range,2,female_range
CALU3_LUNG,male,56,male_range,25,female_range,10,female_range,13,female_range,1,female_range,58,female_range,5,female_range,16,female_range,6,female_range,9,female_range
CALU6_LUNG,female,67,male_range,22,female_range,6,female_range,17,female_range,0,female_range,60,female_range,5,female_range,16,female_range,8,female_range,8,female_range
CAMA1_BREAST,female,79,male_range,45,female_range,1,female_range,15,female_range,0,female_range,64,female_range,2,female_range,8,female_range,9,female_range,0,female_range
CAOV3_OVARY,female,67,male_range,28,female_range,5,female_range,14,female_range,0,female_range,49,female_range,0,female_range,4,female_range,9,female_range,9,female_range
CAOV4_OVARY,female,64,male_range,9,female_range,15,female_range,6,female_range,3,female_range,54,female_range,0,female_range,13,female_range,8,female_range,6,female_range
CAPAN1_PANCREAS,male,31,male_range,56,female_range,24,female_range,39,female_range,0,female_range,153,female_range,5,female_range,14,female_range,9,female_range,11,female_range
CAPAN2_PANCREAS,male,51,male_range,45,female_range,11,female_range,15,female_range,3,female_range,75,female_range,6,female_range,11,female_range,8,female_range,4,female_range
CAS1_CENTRAL_NERVOUS_SYSTEM,male,32,male_range,12157,high_expression,3071,high_expression,4880,high_expression,3177,high_expression,22019,high_expression,62,high_expression,6978,high_expression,1812,high_expression,1420,high_expression
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,female,57228,high_expression,40,female_range,7,female_range,7,female_range,3,female_range,69,female_range,1,female_range,8,female_range,7,female_range,7,female_range
CCK81_LARGE_INTESTINE,NA,97,male_range,10,female_range,4,female_range,1,female_range,0,female_range,39,female_range,0,female_range,2,female_range,2,female_range,0,female_range
CFPAC1_PANCREAS,male,42,male_range,10,female_range,3,female_range,7,female_range,0,female_range,28529,high_expression,3,female_range,1760,high_expression,2,female_range,2904,high_expression
CH157MN_CENTRAL_NERVOUS_SYSTEM,NA,31,male_range,21,female_range,10,female_range,3,female_range,0,female_range,41,female_range,0,female_range,7,female_range,2,female_range,2,female_range
CHAGOK1_LUNG,male,59,male_range,31726,high_expression,5660,high_expression,7668,high_expression,6,female_range,127318,high_expression,578,high_expression,10,female_range,10370,high_expression,8301,high_expression
CHP126_AUTONOMIC_GANGLIA,female,67,male_range,29,female_range,8,female_range,25,female_range,62,intermediate_expression,92,female_range,2,female_range,13,female_range,10,female_range,4,female_range
CHP212_AUTONOMIC_GANGLIA,NA,31,male_range,26638,high_expression,4154,high_expression,7832,high_expression,2084,high_expression,44830,high_expression,140,high_expression,13382,high_expression,2912,high_expression,2127,high_expression
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,49978,high_expression,31,female_range,16,female_range,28,female_range,0,female_range,73,female_range,8,female_range,10,female_range,17,female_range,12,female_range
CJM_SKIN,NA,50,male_range,6176,high_expression,6080,high_expression,5458,high_expression,801,high_expression,28131,high_expression,22,high_expression,4483,high_expression,2622,high_expression,2649,high_expression
CL11_LARGE_INTESTINE,NA,153,male_range,8455,high_expression,4621,high_expression,4143,high_expression,0,female_range,65,female_range,85,high_expression,5096,high_expression,1980,high_expression,1563,high_expression
CL14_LARGE_INTESTINE,male,157,male_range,64,female_range,28,female_range,26,female_range,3,female_range,139,female_range,1,female_range,16,female_range,14,female_range,8,female_range
CL34_LARGE_INTESTINE,female,12588,high_expression,49,female_range,14,female_range,26,female_range,2,female_range,81,female_range,4,female_range,9,female_range,3,female_range,8,female_range
CL40_LARGE_INTESTINE,female,17994,high_expression,27,female_range,16,female_range,17,female_range,0,female_range,57,female_range,3,female_range,12,female_range,13,female_range,3,female_range
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,49,male_range,20979,high_expression,9270,high_expression,27036,high_expression,8,female_range,52807,high_expression,640,high_expression,4399,high_expression,4678,high_expression,2517,high_expression
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,172015,high_expression,42,female_range,2,female_range,8,female_range,15,female_range,41,female_range,2,female_range,11,female_range,14,female_range,2,female_range
COLO201_LARGE_INTESTINE,male,45,male_range,5028,high_expression,2466,high_expression,3790,high_expression,0,female_range,59,female_range,956,high_expression,10,female_range,1494,high_expression,1,female_range
COLO320_LARGE_INTESTINE,female,119,male_range,26,female_range,14,female_range,17,female_range,2,female_range,69,female_range,1,female_range,12,female_range,4,female_range,11,female_range
COLO668_LUNG,female,793,intermediate_expression,110,female_range,14,female_range,36,female_range,10,female_range,184,female_range,0,female_range,34,female_range,15,female_range,6,female_range
COLO678_LARGE_INTESTINE,male,67,male_range,44,female_range,16,female_range,12,female_range,2,female_range,56,female_range,1,female_range,2,female_range,2,female_range,3,female_range
COLO679_SKIN,female,35684,high_expression,33,female_range,6,female_range,19,female_range,0,female_range,66,female_range,2,female_range,4,female_range,11,female_range,9,female_range
COLO680N_OESOPHAGUS,female,31,male_range,15,female_range,2,female_range,3,female_range,2,female_range,26,female_range,0,female_range,5,female_range,4,female_range,3,female_range
COLO684_ENDOMETRIUM,female,15591,high_expression,20,female_range,12,female_range,10,female_range,4,female_range,43,female_range,0,female_range,4,female_range,11,female_range,2,female_range
COLO741_SKIN,female,19247,high_expression,8,female_range,4,female_range,4,female_range,0,female_range,37,female_range,0,female_range,4,female_range,6,female_range,4,female_range
COLO783_SKIN,female,20839,high_expression,10,female_range,0,female_range,8,female_range,4,female_range,40,female_range,0,female_range,5,female_range,2,female_range,2,female_range
COLO792_SKIN,male,66,male_range,7432,high_expression,6001,high_expression,6129,high_expression,0,female_range,68711,high_expression,157,high_expression,32,female_range,2390,high_expression,1693,high_expression
COLO800_SKIN,male,83,male_range,27255,high_expression,5647,high_expression,8768,high_expression,141,intermediate_expression,79412,high_expression,14,intermediate_expression,4543,high_expression,3376,high_expression,4273,high_expression
COLO829_SKIN,male,67,male_range,41,female_range,12,female_range,14,female_range,3,female_range,69,female_range,5,female_range,9,female_range,9,female_range,13,female_range
CORL105_LUNG,male,62,male_range,11128,high_expression,3645,high_expression,5147,high_expression,184,high_expression,7453,high_expression,158,high_expression,3625,high_expression,1417,high_expression,2093,high_expression
CORL23_LUNG,male,23,male_range,27,female_range,5,female_range,5,female_range,2,female_range,148,female_range,1,female_range,5,female_range,7,female_range,2,female_range
CORL24_LUNG,male,35,male_range,19,female_range,3,female_range,9,female_range,3,female_range,19,female_range,1,female_range,6,female_range,7,female_range,8,female_range
CORL279_LUNG,male,19,male_range,15432,high_expression,76,female_range,5954,high_expression,666,high_expression,25442,high_expression,297,high_expression,15268,high_expression,3065,high_expression,1517,high_expression
CORL311_LUNG,male,28,male_range,22,female_range,4,female_range,5,female_range,3,female_range,28,female_range,0,female_range,7,female_range,0,female_range,1731,high_expression
CORL47_LUNG,male,48,male_range,15468,high_expression,4858,high_expression,7426,high_expression,10,female_range,91202,high_expression,743,high_expression,7165,high_expression,3026,high_expression,2099,high_expression
CORL88_LUNG,male,58,male_range,39,female_range,16,female_range,15,female_range,1,female_range,90,female_range,2,female_range,26,female_range,8,female_range,5,female_range
CORL95_LUNG,male,58,male_range,7788,high_expression,8389,high_expression,9942,high_expression,2897,high_expression,27267,high_expression,759,high_expression,4831,high_expression,5206,high_expression,3161,high_expression
COV318_OVARY,female,4499,high_expression,37,female_range,12,female_range,23,female_range,0,female_range,133,female_range,5,female_range,7,female_range,15,female_range,6,female_range
COV362_OVARY,female,46953,high_expression,26,female_range,10,female_range,10,female_range,55,intermediate_expression,42,female_range,3,female_range,4,female_range,3,female_range,2,female_range
COV434_OVARY,female,29786,high_expression,22,female_range,1,female_range,6,female_range,3,female_range,38,female_range,3,female_range,9,female_range,0,female_range,4,female_range
COV644_OVARY,female,119,male_range,62,female_range,13,female_range,25,female_range,5,female_range,148,female_range,0,female_range,10,female_range,7,female_range,5,female_range
CW2_LARGE_INTESTINE,female,87,male_range,49,female_range,21,female_range,32,female_range,0,female_range,122,female_range,4,female_range,9,female_range,12,female_range,2,female_range
D283MED_CENTRAL_NERVOUS_SYSTEM,male,54,male_range,15667,high_expression,6077,high_expression,9597,high_expression,1755,high_expression,89095,high_expression,272,high_expression,8197,high_expression,3397,high_expression,2238,high_expression
D341MED_CENTRAL_NERVOUS_SYSTEM,male,49,male_range,17865,high_expression,2216,high_expression,7045,high_expression,1683,high_expression,69712,high_expression,231,high_expression,7627,high_expression,2013,high_expression,877,high_expression
DANG_PANCREAS,NA,21,male_range,12,female_range,4,female_range,4,female_range,0,female_range,30,female_range,5,female_range,5,female_range,4,female_range,1,female_range
DAOY_CENTRAL_NERVOUS_SYSTEM,male,88,male_range,51,female_range,22,female_range,4207,high_expression,4,female_range,128,female_range,0,female_range,11,female_range,13,female_range,6,female_range
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,61,male_range,31120,high_expression,15005,high_expression,12671,high_expression,2,female_range,82914,high_expression,21,high_expression,7781,high_expression,9521,high_expression,3167,high_expression
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,female,11135,high_expression,31,female_range,3,female_range,12,female_range,3,female_range,59,female_range,4,female_range,14,female_range,4,female_range,5,female_range
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,15,male_range,19045,high_expression,21424,high_expression,9878,high_expression,1542,high_expression,58583,high_expression,411,high_expression,11911,high_expression,8536,high_expression,3499,high_expression
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,70,male_range,7832,high_expression,2566,high_expression,4958,high_expression,0,female_range,29656,high_expression,201,high_expression,4698,high_expression,2188,high_expression,2151,high_expression
DETROIT562_UPPER_AERODIGESTIVE_TRACT,female,57,male_range,17,female_range,12,female_range,12,female_range,0,female_range,79,female_range,2,female_range,11,female_range,12,female_range,5,female_range
DKMG_CENTRAL_NERVOUS_SYSTEM,female,40394,high_expression,21,female_range,3,female_range,8,female_range,0,female_range,68,female_range,2,female_range,5,female_range,12,female_range,6,female_range
DM3_FIBROBLAST,male,119,male_range,4976,high_expression,2636,high_expression,1564,high_expression,2084,high_expression,23555,high_expression,1,female_range,4041,high_expression,818,high_expression,1651,high_expression
DMS114_LUNG,male,18,male_range,1376,high_expression,272,intermediate_expression,358,intermediate_expression,56,intermediate_expression,2720,intermediate_expression,39,high_expression,64,intermediate_expression,306,high_expression,143,intermediate_expression
DMS153_LUNG,male,27,male_range,22,female_range,7,female_range,8,female_range,29,female_range,17,female_range,2,female_range,10,female_range,1,female_range,0,female_range
DMS273_LUNG,female,46451,high_expression,26,female_range,4,female_range,9,female_range,1,female_range,39,female_range,3,female_range,8,female_range,5,female_range,0,female_range
DMS454_LUNG,male,39339,high_expression,3897,high_expression,11,female_range,17,female_range,571,high_expression,323,female_range,176,high_expression,1141,high_expression,1244,high_expression,1404,high_expression
DMS53_LUNG,male,50,male_range,21,female_range,4,female_range,7,female_range,2,female_range,13,female_range,0,female_range,0,female_range,0,female_range,6,female_range
DMS79_LUNG,NA,42,male_range,6957,high_expression,2250,high_expression,4645,high_expression,1403,high_expression,9602,high_expression,480,high_expression,7284,high_expression,2303,high_expression,2016,high_expression
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,163,male_range,4461,high_expression,2288,high_expression,3567,high_expression,18,female_range,18313,high_expression,335,high_expression,2548,high_expression,1663,high_expression,555,high_expression
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,58,male_range,21517,high_expression,9554,high_expression,13241,high_expression,25,female_range,60274,high_expression,467,high_expression,4463,high_expression,5402,high_expression,2488,high_expression
DU145_PROSTATE,male,144,male_range,7151,high_expression,2007,high_expression,1586,high_expression,15,female_range,28481,high_expression,105,high_expression,2431,high_expression,745,high_expression,1814,high_expression
DU4475_BREAST,female,54610,high_expression,12,female_range,4,female_range,7,female_range,10,female_range,49,female_range,0,female_range,1,female_range,6,female_range,0,female_range
DV90_LUNG,male,54,male_range,53,female_range,10,female_range,25,female_range,4,female_range,105,female_range,3,female_range,19,female_range,10,female_range,5,female_range
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,119900,high_expression,5,female_range,4,female_range,6,female_range,0,female_range,41,female_range,0,female_range,3,female_range,2,female_range,1,female_range
